4,20072,263,Kaja Kallas,Isikumandaat
2,17150,936,Mihhail Kõlvart,Isikumandaat
2,8733,238,Siim Kallas,Isikumandaat
7,6195,993,Yana Toom,Isikumandaat
4,9702,961,Jüri Ratas,Isikumandaat
12,9170,790,Mart Helme,Isikumandaat
3,8584,253,Urmas Paet,Isikumandaat
1,7303,924,Raimond Kaljulaid,Isikumandaat
4,7390,711,Henn Põlluaas,Isikumandaat
8,6069,304,Jürgen Ligi,Isikumandaat
1,6347,226,Kristen Michal,Isikumandaat
10,6119,322,Urmas Klaas,Isikumandaat
8,5612,752,Jaak Madison,Isikumandaat
12,5741,1040,Kadri Simson,Ringkonnamandaat
3,5967,701,Martin Helme,Ringkonnamandaat
4,5504,513,Marina Kaljurand,Ringkonnamandaat
9,5398,313,Urmas Kruuse,Ringkonnamandaat
2,4813,686,Leo Kunnas,Ringkonnamandaat
12,5202,342,Toomas Kivimägi,Ringkonnamandaat
1,4763,227,Heidy Purga,Ringkonnamandaat
4,4806,1097,Jüri Luik,Ringkonnamandaat
11,3802,780,Uno Kaskpeit,Ringkonnamandaat
3,4331,254,Maris Lauri,Ringkonnamandaat
7,2653,994,Mihhail Stalnuhhin,Ringkonnamandaat
4,4152,712,Siim Pohlak,Ringkonnamandaat
11,3595,332,Hanno Pevkur,Ringkonnamandaat
9,3846,761,Peeter Ernits,Ringkonnamandaat
3,3925,951,Taavi Aas,Ringkonnamandaat
5,3344,280,Kalle Laanet,Ringkonnamandaat
6,3335,736,Anti Poolamets,Ringkonnamandaat
4,3655,264,Marko Mihkelson,Ringkonnamandaat
5,3202,728,Helle-Moonika Helme,Ringkonnamandaat
8,3138,1138,Helir-Valdor Seeder,Ringkonnamandaat
7,2112,545,Katri Raik,Ringkonnamandaat
10,3053,324,Ants Laaneots,Ringkonnamandaat
6,2847,288,Taavi Rõivas,Ringkonnamandaat
11,2824,1030,Tarmo Tamm,Ringkonnamandaat
3,3251,956,Lauri Laats,Ringkonnamandaat
2,2680,488,Jevgeni Ossinovski,Ringkonnamandaat
10,2740,770,Jaak Valge,Ringkonnamandaat
2,2482,239,Keit Pentus-Rosimannus,Ringkonnamandaat
1,2585,675,Urmas Reitelmann,Ringkonnamandaat
10,2506,1156,Tõnis Lukas,Ringkonnamandaat
11,2343,333,Liina Kersna,Ringkonnamandaat
9,2583,1150,Raivo Tamm,Ringkonnamandaat
10,2370,1020,Aadu Must,Ringkonnamandaat
3,2633,1087,Urmas Reinsalu,Ringkonnamandaat
8,2227,1002,Jaak Aab,Ringkonnamandaat
1,2339,228,Arto Aas,Ringkonnamandaat
8,2194,554,Helmen Kütt,Ringkonnamandaat
4,2476,265,Aivar Sõerd,Ringkonnamandaat
12,2397,343,Annely Akkermann,Ringkonnamandaat
6,2095,986,Siret Kotka-Repinski,Ringkonnamandaat
2,2069,937,Mailis Reps,Ringkonnamandaat
4,2310,269,Madis Milling,Ringkonnamandaat
12,2228,1176,Andres Metsoja,Ringkonnamandaat
6,2023,1123,Üllar Saaremäe,Ringkonnamandaat
2,2002,241,Kristina Šmigun-Vähi,Ringkonnamandaat
1,1969,927,Vadim Belobrovtsev,Ringkonnamandaat
9,2095,1012,Marika Tuus-Laul,Ringkonnamandaat
9,2079,314,Valdo Randpere,Ringkonnamandaat
5,1805,978,Enn Eesmaa,Ringkonnamandaat
1,1813,935,Marek Jürgenson,Ringkonnamandaat
1,1811,1060,Tarmo Kruusimäe,Ringkonnamandaat
1,1693,476,Sven Mikser,Ringkonnamandaat
7,1110,295,Eerik-Niiles Kross,Ringkonnamandaat
4,1655,266,Kalle Palling,Ringkonnamandaat
10,1522,572,Heljo Pikhof,Ringkonnamandaat
11,1457,582,Ivari Padar,Ringkonnamandaat
11,1406,1166,Priit Sibul,Ringkonnamandaat
7,976,1001,Martin Repinski,Ringkonnamandaat
10,1356,326,Signe Kivi,Ringkonnamandaat
4,1458,713,Rene Kokk,Ringkonnamandaat
2,1259,1073,Viktoria Ladõnskaja-Kubits,Ringkonnamandaat
11,1245,781,Merry Aart,Ringkonnamandaat
2,1114,938,Mihhail Korb,Ringkonnamandaat
2,1011,942,Maria Jufereva-Skuratovski,Ringkonnamandaat
8,997,305,Yoko Alender,Ringkonnamandaat
2,980,945,Vladimir Svet,Ringkonnamandaat
4,944,968,Vladimir Arhipov,Ringkonnamandaat
12,673,791,Alar Laneman,Ringkonnamandaat
11,605,585,Kalvi Kõva,Kompensatsioonimandaat
4,419,714,Paul Puustusmaa,Kompensatsioonimandaat
2,1905,240,Andres Sutt,Kompensatsioonimandaat
5,2617,281,Urve Tiidus,Kompensatsioonimandaat
10,566,771,Ruuben Kaalep,Kompensatsioonimandaat
5,1661,979,Jaanus Karilaid,Kompensatsioonimandaat
1,1610,477,Riina Sikkut,Kompensatsioonimandaat
3,953,255,Vilja Toomast,Kompensatsioonimandaat
8,1394,1003,Kersti Sarapuu,Kompensatsioonimandaat
2,1154,1072,Sven Sester,Kompensatsioonimandaat
7,979,744,Riho Breivel,Kompensatsioonimandaat
3,708,256,Johannes Kert,Kompensatsioonimandaat
11,764,335,Andrus Seeme,Kompensatsioonimandaat
1,289,929,Kalev Kallo,Kompensatsioonimandaat
9,1082,764,Kert Kingo,Kompensatsioonimandaat
12,1139,344,Jüri Jaanson,Kompensatsioonimandaat
6,1332,538,Indrek Saar,Kompensatsioonimandaat
11,1474,1031,Anneli Ott,Kompensatsioonimandaat
9,2536,1147,Aivar Kokk,Kompensatsioonimandaat
5,390,284,Heiki Kranich,Kompensatsioonimandaat
